id,codigo,nombre,estado,municipio,region,cantidad_postes,fecha_autorizacion
vgt_2024_p_394,VGT-2024-P-394,TENDIDO DE FIBRA OPTICA BARRIO BOLIVAR ACARIGUA,PORTUGUESA,,andes,158,2024-05-16
vgt_2024_p_383,VGT-2024-P-383,LA APARICION,PORTUGUESA,OSPINO,andes,210,2024-05-16
vgt_2024_p_77,VGT-2024-P-77,TENDIDO DE FIBRA OPTICA  AGUA BLANCA SECTOR VENEZUELA DESDE 01/11/24,PORTUGUESA,AGUA BLANCA,andes,106,2024-05-16
vgt_2024_p_470,VGT-2024-P-470,TENDIDO DE FIBRA OPTICA SECTOR  AGUA BLANCA,PORTUGUESA,,andes,93,2024-04-01
vgt_2024_p_725,VGT-2024-P-725,FIBRA OPTICA TRONCAL PIRITU TUREN II,PORTUGUESA,TUREN,andes,145,2024-04-01
vgt_2023_p_400,VGT-2023-P-400,TENDIDO DE FIBRA OPTICA TRONCAL GUANARE ENTRADA SABANETA,PORTUGUESA,GUANARE -BARINAS,andes,767,2023-06-12
vgt_2024_p_1476,VGT-2024-P-1476,PROYECTO RUTA FIBRA OPTICA TUCUPIDO,PORTUGUESA,GUANARE,andes,91,2023-06-03
vgt_2024_p_1252,VGT-2024-P-1252,"RUTA FIBRA OPTICA LA ESTACIÓN OSPINO, EDO. PORTUGUESA",PORTUGUESA,OSPINO,andes,48,
vgt_2024_p_1175,VGT-2024-P-1175,PROYECTO RUTA FIBRA ÓPTICA TRONCAL LA ESTACION OSPINO-OSPINO,PORTUGUESA,OSPINO,andes,126,2023-06-03
vgt_2024_p_412,VGT-2024-P-412,TENDIDO DE FIBRA ÓPTICA URBANIZACION FERMIN TORO,PORTUGUESA,GUANARE,andes,55,2023-10-15
vgt_2024_p_1297,VGT-2024-P-1297,RUTA FIBRA OPTICA PAYARA EDO. PORTUGUESA,PORTUGUESA,PAEZ,andes,312,2024-10-25
vgt_2024_p_1295,VGT-2024-P-1295,RUTA FIBRA OPTICA TRONCAL ACARIGUA PAYARA,PORTUGUESA,PAEZ,andes,202,
vgt_2024_p_2155,VGT-2024-P-2155,"RUTA FIBRA OPTICA PROYECTO RED GPON LA COMUNIDAD NUEVA Y VIEJA, COROMOTO, EDO. PORTUGUESA",PORTUGUESA,GUANARE,andes,303,2024-11-28
vgt_2023_p_1489,VGT-2023-P-1489,TENDIDO DE FIBRA ÓPTICA URB. LA GRANJA,PORTUGUESA,GUANARE,andes,50,2023-11-10
vgt_2023_p_1672,VGT-2023-P-1672,TENDIDO DE FIBRA ÓPTICA TRAMO SAN ANTONIO - VILLA PASTORA,PORTUGUESA,PAEZ,andes,338,2023-12-19
vgt_2024_p_1852,VGT-2024-P-1852,"PROYECTO BARRIO LA CONSTITUYENTE, ACARIGUA, EDO. PORTUGUESA",PORTUGUESA,PAEZ,andes,93,2024-09-26
vgt_2024_p_1900,VGT-2024-P-1900,TENDIDO DE FIBRA ÓPTICA BARRIO EL BOSQUE PARAISO,PORTUGUESA,OSPINO,andes,100,2024-10-04
vgt_2024_p_384,VGT-2024-P-384,TENDIDO DE FIBRA ÓPTICA BISCUCUY,PORTUGUESA,SUCRE,andes,287,2023-08-04
vgt_2024_p_385,VGT-2024-P-385,TENDIDO DE FIBRA ÓPTICA TRONCAL LAS CRUCES- BISCUCUY EDO. PORTUGUESA,PORTUGUESA,SUCRE,andes,361,2024-01-23
vgt_2024_p_1988,VGT-2024-P-1988,"PROYECTO BARRIO ARAGUANEY, ACARIGUA, EDO PORTUGUESA",PORTUGUESA,ACARIGUA,andes,135,2024-10-16
vgt_2024_p_1989,VGT-2024-P-1989,"PROYECTO URB. SAN JOSÉ I, ARAURE, EDO. PORTUGUESA",PORTUGUESA,ARAURE,andes,79,2024-10-16
vgt_2024_p_2188,VGT-2024-P-2188,RED GPON JOSE ANTONIO PAEZ EDO PORTUGUESA,PORTUGUESA,OSPINO,andes,80,2024-11-13
vgt_2024_p_2309,VGT-2024-P-2309,"SOLICITUD DE PERMISOLOGIA PROYECTO RED GPON ESTADIO-CICLO BÁSICO,",PORTUGUESA,TUREN,andes,123,
vgt_2024_p_2339,VGT-2024-P-2339,"PROYECTO RED GPON EL PROGRESO GUANARE, EDO. PORTUGUESA",PORTUGUESA,GUANARE,andes,171,2024-03-12
vgt_2024_p_2347,VGT-2024-P-2347,RED GPON VALLE CENTRO - OSPINO,PORTUGUESA,OSPINO,andes,78,2024-04-12
vgt_2024_p_2196,VGT-2024-P-2196,RED GPON PRADOS DEL SOL II,PORTUGUESA,SAMUEL DARIA MALDONADO,andes,126,2024-11-13
vgt_2024_p_2201,VGT-2024-P-2201,"RED GPON  PAYARA LOS MAMONES, EDO PORTUGUESA",PORTUGUESA,PAEZ,andes,126,2024-11-14
